ITERATION	TESTCASE	DESCRIPTION	TRACKID	STARTDATE	ENDDATE	TASK	COUNTERS	VALUE(ms)	SIZE	NAME	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,95	09.51.39,96	RESOURCE	NETWORK	8	18650	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,848,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,96	09.51.39,96	RESOURCE	NETWORK	8	8765	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,78,3	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,96	09.51.39,97	RESOURCE	NETWORK	8	8765	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,102,3	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,97	09.51.39,97	RESOURCE	NETWORK	7	31392	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,327,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,97	09.51.39,98	RESOURCE	NETWORK	7	23725	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,129,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,97	09.51.39,98	RESOURCE	NETWORK	9	10930	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,64,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,98	09.51.39,98	RESOURCE	NETWORK	7	10930	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,107,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,98	09.51.39,99	RESOURCE	NETWORK	10	10930	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,46,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,99	09.51.40,00	RESOURCE	NETWORK	9	12123	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,77,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,99	09.51.40,00	RESOURCE	NETWORK	8	4122	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,130,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,00	09.51.40,00	RESOURCE	NETWORK	7	27532	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,140,0	
